"","parameter","condition","1","2","3","5","6","7","8","9","11","12","13","14"
"TVC.division1","TVC.division","enhanced",-Inf,-Inf,1.33945414747238,0.491457240917426,-Inf,-Inf,-Inf,-0.208982477223666,-0.436649840600788,-Inf,-Inf,1.28634281101281
"TVC.division2","TVC.division","inhibited",0.0475701141268267,1.66054699101758,-0.793628902168223,-0.983309198757145,0.538556466638969,1.0253112838152,0.0755844902964232,0.760711152943011,0.738549503018853,-0.0764186031486267,0.164736868033205,-1.95571164019312
"TVC.division3","TVC.division","WT",-0.00899338875635891,-1.62197026564711,0.699957829240251,0.939908621961003,-0.499979741268501,-0.986734558444732,-0.0370077649259554,-0.749082183550451,-0.723116989104011,0.114995328519095,-0.126160142662737,1.76408816665997
"TVC.migration1","TVC.migration","inhibited",0.534721663930559,-Inf,-1.50723365251082,-0.289428500670024,0.718225071873411,1.31018077601553,-Inf,1.1800567826312,-0.130908262499961,-0.119503499227712,-0.459636189492664,-1.89209300312464
"TVC.migration2","TVC.migration","WT",-0.534721663930558,Inf,1.50723365251082,0.289428500670024,-0.718225071873411,-1.31018077601553,Inf,-1.1800567826312,0.130908262499961,0.119503499227712,0.459636189492664,1.89209300312464
"ATM.division1","ATM.division","enhanced",-0.17499242864342,1.38688645896469,-4.35906791842877,-0.37210544153151,-1.11561388156449,0.372811273752972,-Inf,1.67560750846214,0.499980237810331,0.512417341048554,-0.397384849979868,-1.95888837787704
"ATM.division2","ATM.division","WT",0.17499242864342,-1.38688645896469,4.35906791842877,0.37210544153151,1.11561388156449,-0.372811273752972,Inf,-1.67560750846214,-0.499980237810331,-0.512417341048554,0.397384849979868,1.95888837787704
"ATM.migration1","ATM.migration","enhanced",-1.6126257565286,2.40974205649985,-4.92117482161477,-0.276399278588673,-2.29069766164124,-0.510823476005744,-Inf,2.29918368135215,1.07309245590572,0.339352728608453,-1.51535313448626,-2.04371566109281
"ATM.migration2","ATM.migration","WT",1.6126257565286,-2.40974205649985,4.92117482161477,0.276399278588673,2.29069766164124,0.510823476005744,Inf,-2.29918368135215,-1.07309245590572,-0.339352728608453,1.51535313448626,2.04371566109281
"other1","other","TVC alignment",-0.805690839930728,-Inf,0.277001948515415,1.37884159222435,-2.85553938938129,-0.43637164095772,-Inf,-0.402896936406632,-1.85553938938129,-0.0662183901539475,-1.78032604217508,1.0650261431243
"other2","other","TVC disposition",0.99600693063414,-Inf,-Inf,1.0975948023133,1.36165640295082,0.179453071730071,-Inf,0.5385341650349,-Inf,1.41823993131719,-1.33878331519027,0.107899810705037
"other3","other","WT",0.465851999834339,Inf,-0.0856102718284373,-1.41090022512719,1.40647345275541,0.360037879765123,Inf,0.264562827482692,2.04693106606827,-0.221557769857635,1.75641592381237,-1.00291748338229
