gamma,nclust,MSE
0.9009268084023255,5,0.03605822
1.6735279187677012,26,0.035119448
0.5900602799301756,2,0.038357396
1.201491079591939,8,0.03566346
0.5411902144588719,1,0.038361263
0.5424296097391101,2,0.038357396
1.7483568853631046,34,0.035098944
0.9068884087952606,5,0.036022644
1.1419144602506208,8,0.03576785
0.20105861585092696,1,0.038361263
1.079793374386966,7,0.035546865
0.8625271164395604,4,0.036395576
1.0236602457230985,6,0.036124386
1.6751576131609707,27,0.03508421
1.5791362233441526,22,0.035108693
0.8362382091529758,3,0.036564104
1.3179039060519804,10,0.035681516
1.1501196426051994,9,0.035671636
1.9434027540243766,43,0.034985267
0.21961637791589247,1,0.038361263
0.6443956317237644,2,0.038357396
1.8557490807452817,40,0.034987018
1.0736912876817493,7,0.035753954
1.9453470760898595,43,0.034985267
1.0384077827170657,8,0.0358227
0.8838405485728176,5,0.036241792
1.9074564009369035,41,0.03499545
1.2687160741846375,11,0.03560411
1.8006857411583104,35,0.035001814
1.8571880320015026,40,0.034987018
1.688007329108831,26,0.035080377
0.39639922348686096,1,0.038361263
1.5171898922255287,19,0.035261273
0.7357494775809278,3,0.03715173
0.7183863139353899,3,0.037035547
1.7204464994890105,31,0.03508666
1.1280410758694348,8,0.035470653
1.2955999142626753,10,0.035674624
1.7038798512311994,32,0.035070825
0.10954325557073458,1,0.038361263
1.968748860940442,46,0.034962237
1.952287774281161,43,0.034964636
0.8050017790962051,3,0.036580615
0.28283814104137517,1,0.038361263
1.0071606085261764,4,0.03617308
1.460507215404033,18,0.03539248
0.2937036399538673,1,0.038361263
0.4300021814777867,1,0.038361263
0.29798446759146335,1,0.038361263
1.121116133850469,7,0.03572292
1.9169320896250923,43,0.03499906
0.4571867892197389,1,0.038361263
0.730106630606697,3,0.037080314
1.142877851431813,7,0.035807144
0.4529995888177619,1,0.038361263
0.4823876827413889,1,0.038361263
1.2577504602465375,9,0.0357086
1.9475975721953724,43,0.034985267
1.146140220284672,8,0.03573063
0.868970025797681,5,0.036300655
0.6509017357459137,2,0.038357396
0.9137058443430471,5,0.036050707
0.9468034430990587,6,0.036050618
0.4437905519750037,1,0.038361263
0.8326123171837427,3,0.036549006
1.6821790885453467,28,0.03502174
1.240687355958583,10,0.03571771
1.5097220794546247,18,0.035220154
1.0700618168788685,8,0.035880335
0.6176102879956757,2,0.038357396
0.1898891473698491,1,0.038361263
1.987307900122029,49,0.034919117
1.4108980817308052,15,0.035590168
0.591945176212229,2,0.038357396
1.0662975523110478,8,0.035829414
0.4323831485602099,1,0.038361263
1.2850049842293687,10,0.0355749
0.5720045278567634,2,0.038357396
0.1539379155329179,1,0.038361263
0.9330822282722653,5,0.036014583
1.690761647252038,27,0.03509326
0.6620339931547087,2,0.038357396
0.8445365772737955,4,0.03636846
1.465564194435954,17,0.035205033
1.491792599175964,20,0.035294276
1.6923457898944547,27,0.03509326
1.7839015735153625,34,0.035010826
0.7376599332405834,3,0.037082314
0.6951793164216064,3,0.037090022
1.3686403731517507,13,0.035657406
1.6457593574963039,26,0.035104122
1.6952091864170038,27,0.03509326
0.7893252266416555,3,0.0364279
0.746557276534652,3,0.037173975
0.7209771708958734,3,0.037037693
0.7456010538917889,3,0.037166126
0.2028821913627818,1,0.038361263
1.2538884653227869,9,0.035702545
0.3613243117129342,1,0.038361263
0.5026331709080153,1,0.038361263
0.486981020779205,1,0.038361263
1.0844395299660545,8,0.035779763
1.7037354898217676,32,0.035070825
1.3630525014554065,12,0.035486963
0.10760721043202241,1,0.038361263
1.9972254731235803,47,0.034971472
0.22152796171904995,1,0.038361263
0.22042255329652966,1,0.038361263
1.8362876339974832,39,0.035017595
1.9223929831428574,42,0.0349859
1.1200925953435843,7,0.035716616
1.8512358559148658,37,0.035023514
1.4906752853056762,16,0.035269752
1.1691487397953935,9,0.03572539
1.1307276642228419,7,0.035739534
0.8093698529620682,3,0.036473673
1.651682699001726,27,0.035150334
1.1809170029460678,9,0.035661284
0.9565924370731322,5,0.03603698
1.7458534058507942,31,0.035062946
0.7308120389926861,3,0.03708448
1.6266038251743231,25,0.035132434
1.0356764840550585,7,0.035791375
1.115917995891737,7,0.035761703
1.1347261918731835,8,0.035687633
0.5519082840896653,2,0.038357396
0.32877553104410673,1,0.038361263
1.7214965332297036,31,0.03505393
