Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
0.18677375,0.9543188,0.82920575,-0.9088982,-0.8341336,0.34640825,-0.8984509,-0.80180407,0.69809365,0.97864133,0.5764002,0.056308936,0.52214676,0.91013443
0.21624494,-0.1989749,-0.04846538,-0.78656346,-0.9276906,-0.22114223,-0.9464307,-0.7354692,0.6634237,0.84514135,-0.75108147,0.94864655,0.8248781,0.060341284
0.3799266,0.6948747,0.79500324,-0.860042,-0.39130577,0.08841023,0.65919775,-0.9321295,0.94350874,0.11484286,-0.5229452,-0.945766,-0.1808052,0.9417663
-0.7978551,0.37526366,0.9362789,0.57414067,0.8570647,0.07803208,0.7994645,-0.5780548,0.34201157,0.84175754,0.7630568,-0.18898404,-0.24416777,0.14731231
0.7238675,0.67118174,0.09664732,-0.9483648,-0.53126544,-0.00420249,0.15407929,-0.799004,0.9039321,-0.5515834,-0.8229389,-0.929978,-0.4120636,0.84504724
-0.76189554,0.6679443,0.82117844,-0.90850735,0.3181835,0.8734414,0.4920044,-0.962583,0.91340065,0.86427885,0.75530523,-0.24780779,-0.48261914,0.9205521
0.5486772,0.14039803,-0.7264155,0.8378989,-0.48150656,-0.3358223,-0.95363563,0.9696587,-0.9747055,0.36952722,0.6720356,0.8493648,0.5253694,-0.7329501
-0.44607356,0.74890196,0.46845868,-0.82859683,-0.30116674,0.7979247,-0.52519315,-0.70409864,0.5391694,0.8862274,0.7764831,0.43249178,-0.15287632,0.81081384
0.75789976,0.512438,-0.6202165,-0.05293543,0.21496858,-0.5438717,-0.29955012,0.7724976,-0.62993115,-0.78517973,-0.5276314,-0.85958576,-0.42762178,-0.39764035
-0.3526097,0.6494064,0.10535583,0.5092148,0.6817454,0.077493764,-0.51221246,0.7829594,-0.81118995,0.5941305,0.7818479,0.36471698,-0.34773332,-0.68628144
0.89138305,-0.46222878,0.53778255,0.90246403,-0.9519431,-0.95696205,-0.9528093,0.25327337,-0.41963878,0.66227406,-0.8026789,0.6945031,0.9754729,-0.33634737
0.81389236,0.090450406,0.7342779,-0.6954048,-0.9683167,-0.7741259,-0.6249835,-0.92491674,0.9445319,0.69570476,-0.93661577,-0.22341399,0.9143008,0.86978513
-0.8018303,0.82617307,0.24280833,-0.84892416,0.3062755,0.9456463,-0.50420386,-0.5009564,0.2510189,0.9130531,0.94618,0.72523093,-0.65083706,0.66095316
