Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
0.09219502,0.014469049,0.05575786,0.09292167,0.10850928,0.035387818,0.027144892,0.004677163,0.0020217465,0.0745147,0.0017945846,0.004638039,0.014368202,0.47160003
0.006831224,0.027063351,0.012244936,0.0014496491,0.007056437,0.01841822,0.015460019,0.056842804,0.06905057,0.0016623575,0.4859791,0.055242416,0.23864664,0.004052186
0.07382477,0.10166379,0.006275351,0.0820375,0.22477193,0.050221458,0.18041685,0.016618995,0.07718478,0.091916904,0.011281496,0.024709722,0.0047446596,0.05433177
0.0340546,0.0046096244,0.41154724,0.005853456,0.0010847131,0.035013452,0.003161843,0.021836596,0.00021886487,0.00406794,0.011289096,0.0133716315,0.41676232,0.037128516
0.012548189,0.06494862,0.00086623954,0.012131631,0.27298635,0.011462166,0.09444544,0.009106176,0.4285546,0.017358975,0.045082133,0.014269929,0.0032074947,0.013032083
0.026745077,0.12211281,0.0035546664,0.012388773,0.06457331,0.035821036,0.120758995,0.05076205,0.30267167,0.016687967,0.1529845,0.06865171,0.015865743,0.006421758
0.03380594,0.004552982,0.031121284,0.03829473,0.13801093,0.010269054,0.008882195,0.001159787,0.001228149,0.03092118,0.0010709022,0.0010890411,0.009726051,0.6898678
0.095127605,0.10700015,0.008939886,0.0953565,0.16564828,0.06553426,0.18473339,0.021372616,0.053678002,0.103362314,0.010685733,0.030746058,0.005681594,0.052133583
0.16167891,0.05085396,0.042548873,0.14351907,0.085318,0.090912394,0.09011394,0.018101161,0.0063324603,0.12509745,0.0040689083,0.020776253,0.013321603,0.14735697
0.05857188,0.007649956,0.4213927,0.013156416,0.0017026534,0.06020084,0.0061962698,0.029485345,0.00027137256,0.008977938,0.008823993,0.019551247,0.3128426,0.05117683
0.061292354,0.0046800966,0.48664707,0.023483515,0.0026736313,0.047183175,0.004989926,0.011215048,0.00011845958,0.014476608,0.0021071685,0.00794473,0.1641276,0.16906066
0.09713593,0.14615633,0.011582394,0.058871888,0.06303888,0.097717196,0.19373798,0.059527572,0.06427681,0.06621783,0.03187454,0.08020094,0.012378902,0.017282885
0.16951415,0.08212145,0.034150228,0.12195309,0.052684087,0.12658013,0.13033494,0.03724286,0.010349151,0.112655945,0.007570864,0.04498348,0.014240767,0.05561885
0.0070561124,0.0012149452,0.2505292,0.0007088051,0.00056472403,0.007326316,0.0005873399,0.008456006,0.00018224394,0.00053795456,0.024978379,0.0044351085,0.6754851,0.017937765
0.057330895,0.0044789207,0.507551,0.01978365,0.0021199582,0.04576994,0.0045129824,0.011883844,0.00011038542,0.0122037055,0.0023084418,0.008259015,0.18380143,0.13988583
0.0071438844,0.014833207,0.0010473551,0.01610105,0.69703555,0.0038987885,0.034693163,0.000832626,0.08602049,0.0185589,0.0031284057,0.0013577484,0.0016886593,0.113660164
0.0052618263,0.0045146663,0.04340506,0.0006715561,0.0014086124,0.011838002,0.002144218,0.031007832,0.0028669722,0.0006209659,0.22794259,0.01980814,0.64227515,0.006234394
0.0359795,0.030008432,0.07796075,0.0066828104,0.003554125,0.07262266,0.019423665,0.11876332,0.0071670515,0.0061688116,0.15438512,0.093957044,0.36399117,0.009335571
0.039602276,0.13283338,0.007826328,0.01572367,0.03922617,0.060084555,0.12525517,0.08473879,0.17200017,0.019568237,0.15837783,0.10716053,0.030790735,0.0068121846
0.15358935,0.09925766,0.036934637,0.08301295,0.031286944,0.15192308,0.13364783,0.06851982,0.01365059,0.07904353,0.016537199,0.080100454,0.024564946,0.027930982
0.15610643,0.06576009,0.08666188,0.061751384,0.011860235,0.1856389,0.076643415,0.09454167,0.0047084703,0.052858666,0.018218163,0.09354526,0.06591945,0.025785934
0.0024485113,0.009768122,0.009886038,0.00043256313,0.0036546853,0.007538752,0.0048138537,0.028940417,0.036846936,0.00048406443,0.5170775,0.025473665,0.3496,0.003034965
0.036322337,0.13865207,0.0039941603,0.018690256,0.074257016,0.044879828,0.15029915,0.05239223,0.25420675,0.024640335,0.108719096,0.07230397,0.012864125,0.0077787405
0.06012475,0.0061199935,0.07930657,0.054370116,0.06773146,0.020392528,0.010742133,0.0024610227,0.00075601204,0.04113735,0.0011978658,0.0021968465,0.018174233,0.635289
0.0045544156,0.0046547255,0.035540067,0.0005969833,0.0015269208,0.010825533,0.0022046748,0.030233137,0.003697336,0.0005632785,0.25942633,0.019831952,0.6207192,0.005625476
0.009972836,0.06967107,0.0014375045,0.004642251,0.0798641,0.012669134,0.064027734,0.02205147,0.4907026,0.006835476,0.19157273,0.03046997,0.011014968,0.0050680814
0.011515399,0.003545293,0.14882699,0.001324567,0.00089439057,0.01734373,0.0017680331,0.027526127,0.00062570383,0.0010786024,0.074070476,0.01568218,0.68350416,0.012294373
0.08188894,0.0061854725,0.35402596,0.044666667,0.007997882,0.05122387,0.008196483,0.00901283,0.00020085952,0.028474076,0.0016683004,0.0069302423,0.09369864,0.30582985
0.023780666,0.0019072316,0.061724015,0.020895377,0.056179885,0.0065776813,0.0032231791,0.0007254612,0.000359518,0.015731527,0.0007344903,0.00060885004,0.014803229,0.792749
0.02679132,0.01865921,0.08755147,0.004306915,0.0023593917,0.054063313,0.011061143,0.094614446,0.004184514,0.0038653726,0.15175046,0.06866726,0.46312648,0.008998787
0.007996545,0.05520432,0.003521872,0.0024984675,0.027075347,0.014908342,0.038152944,0.03845028,0.31135505,0.0033918712,0.39975882,0.046832353,0.046679053,0.004174739
0.10107896,0.13979805,0.016939804,0.049530275,0.03661808,0.11908989,0.16794206,0.08559353,0.046357885,0.05390682,0.040973946,0.108062185,0.021018289,0.013090216
0.1823704,0.06756276,0.06395298,0.10787359,0.03105302,0.1530029,0.097953424,0.048921417,0.0057754964,0.09328863,0.008762181,0.05309722,0.029168662,0.057217408
0.017374264,0.090781815,0.0012256675,0.012765392,0.168683,0.017766414,0.11522571,0.01793081,0.42703244,0.018285265,0.07254329,0.02698354,0.004711844,0.008690558
0.1026151,0.14331949,0.01016822,0.07015222,0.07220398,0.09407533,0.20474705,0.048574302,0.05784493,0.07844906,0.022014963,0.06771871,0.0086432295,0.019473473
0.16043003,0.09236632,0.028808048,0.11358869,0.054678287,0.124922544,0.14377372,0.04049782,0.013753429,0.10814156,0.009162249,0.050115168,0.013429528,0.046332605
0.12732534,0.123248465,0.016475387,0.08747597,0.06468147,0.110001914,0.18151475,0.04725802,0.032637358,0.09141265,0.016001634,0.06261758,0.010990705,0.028358746
0.0055800895,0.035228528,0.0056793904,0.0014139655,0.0131381275,0.013434152,0.021175683,0.042199872,0.17791258,0.0017907403,0.5175708,0.046496686,0.11471508,0.0036643033
0.009918905,0.06885952,0.0014708955,0.0046108104,0.08063863,0.012598388,0.06316856,0.021910146,0.4892709,0.006779334,0.19398369,0.030205822,0.011366529,0.0052179312
0.0068787993,0.004760526,0.057808556,0.0008621215,0.0013169548,0.014378987,0.0022956035,0.034040857,0.0021868234,0.0007770057,0.18969887,0.021278184,0.65651053,0.0072061564
0.028304841,0.019654678,0.08977468,0.004682718,0.0025647383,0.056168526,0.011842005,0.095467,0.0044165687,0.004204516,0.14858565,0.06984542,0.45481825,0.009670345
0.0058512418,0.04697502,0.0008614366,0.002898111,0.10269078,0.006787598,0.04399985,0.011851868,0.569493,0.0044575585,0.17456333,0.016731834,0.007898239,0.004940075
0.07600929,0.01294118,0.3405662,0.017470652,0.0022667458,0.08776727,0.0106936805,0.04932321,0.00051217,0.01249219,0.014199639,0.0342736,0.30092603,0.040558085
0.057181083,0.023150269,0.0133362645,0.08261938,0.3163357,0.024331806,0.049969256,0.0036184562,0.010910994,0.07614898,0.0025595296,0.0043699644,0.0062305965,0.32923773
0.0077925883,0.038829625,0.008657898,0.0018942237,0.0112725105,0.019327752,0.023705037,0.056984965,0.1270065,0.0022937516,0.48737666,0.060356308,0.15043837,0.0040637692
0.030087546,0.13005775,0.0036042426,0.014455091,0.066743106,0.03924942,0.13315468,0.05207266,0.28549755,0.01936472,0.13379188,0.071177065,0.01417218,0.0065720724
0.17267807,0.07316477,0.065519825,0.09205001,0.026968999,0.16069968,0.09918375,0.061122473,0.0068988544,0.08087703,0.012457496,0.06547736,0.036934037,0.045967694
0.0054111006,0.035211463,0.005321391,0.0013865798,0.013718309,0.012848428,0.021201102,0.04040665,0.18857667,0.0017698302,0.51770407,0.044861507,0.10792899,0.0036538553
0.0054077734,0.044241663,0.0008111479,0.0026821478,0.10476701,0.006215056,0.041370828,0.010916192,0.57755,0.0041481033,0.17389187,0.015436844,0.007664944,0.0048964215
0.08703321,0.0069963397,0.3807027,0.043483812,0.006528362,0.05940269,0.008859498,0.011594727,0.00020819575,0.027705811,0.0019921206,0.008834727,0.10973464,0.24692318
0.13472585,0.015925346,0.14314274,0.10130283,0.03794352,0.06677369,0.02616352,0.01026971,0.0009454943,0.074164234,0.0020867724,0.009344259,0.033771493,0.34344053
