Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50
0.08112669,0.05436498,0.057748284,0.060227875,0.06399321,0.066270515,0.06812501,0.06991838,0.071824506,0.07298319,0.0742726,0.07542556,0.07642083,0.07688696,0.077678904,0.07865842,0.079251245,0.0801354,0.08001393,0.08057026,0.08104669,0.08222369,0.0825563,0.083055586,0.082877085,0.08323846,0.08309749,0.08519122,0.0844659,0.0850553,0.08389278,0.08528794,0.08516979,0.085914426,0.08595703,0.085691355,0.0857832,0.08570626,0.08657887,0.08640993,0.085910015,0.086581506,0.0867135,0.08736237,0.08676174,0.086866625,0.08735728,0.086630404,0.08801798,0.08625497
0.08058844,0.049928654,0.051015414,0.052661717,0.05356154,0.055150498,0.056496706,0.05740153,0.05787267,0.059388284,0.059637193,0.060456753,0.060799245,0.060592394,0.06119716,0.062287282,0.06248496,0.063061826,0.0628937,0.06279527,0.063211404,0.06406929,0.064556114,0.06392733,0.06445916,0.06432605,0.06389949,0.064996846,0.0643434,0.06530453,0.06485765,0.0657779,0.06585696,0.06580392,0.06563924,0.06478015,0.06576191,0.06561478,0.06641736,0.065807074,0.06562473,0.06516854,0.06570898,0.0662654,0.065970376,0.066469,0.066956885,0.06647354,0.06691572,0.065841496
0.07758106,0.043913513,0.045179363,0.04686148,0.048276518,0.04945691,0.050477233,0.051495038,0.05220553,0.05340445,0.053291626,0.053315453,0.054713823,0.053846788,0.05364696,0.054392148,0.055646718,0.055285044,0.054733977,0.055689644,0.055844262,0.05609882,0.057200126,0.056164987,0.056893606,0.05630659,0.056867775,0.056975823,0.05703218,0.057474352,0.056629445,0.056749042,0.058011256,0.058311585,0.057505183,0.056168478,0.05788312,0.058023576,0.05817309,0.057538535,0.058118917,0.057710636,0.057588197,0.058253407,0.057660036,0.058561135,0.058794416,0.058013167,0.0588786,0.05762733
0.07708551,0.04212098,0.04328529,0.044867426,0.045977406,0.047306493,0.04797839,0.04891102,0.048980463,0.05039791,0.049870066,0.050264977,0.051368397,0.05072777,0.050335012,0.05138045,0.052132066,0.05165021,0.05145002,0.052359227,0.052487645,0.052277397,0.053538498,0.052438542,0.053282075,0.052715864,0.052982133,0.05304807,0.053301264,0.05349968,0.05305394,0.05313259,0.054020092,0.05428507,0.053869877,0.052768286,0.054098785,0.0543649,0.054543987,0.053663716,0.054502726,0.054112907,0.05389893,0.054143652,0.05355052,0.05473906,0.054693297,0.054379877,0.05482148,0.05392278
0.07697505,0.04145829,0.04233961,0.043387022,0.04474266,0.045368414,0.04613212,0.047012106,0.047540057,0.04802477,0.04792546,0.048246253,0.048724815,0.048890755,0.048491154,0.049154796,0.049975347,0.049606655,0.04943016,0.05000061,0.05032666,0.050320502,0.051331718,0.050322976,0.051087312,0.050698396,0.05077618,0.050875984,0.05114118,0.05127393,0.051007986,0.05088463,0.051813584,0.0521819,0.051617377,0.05077846,0.051723517,0.05216957,0.05211923,0.051329765,0.05222948,0.05174362,0.05188495,0.051954485,0.05156747,0.052447654,0.052367665,0.05201167,0.052373283,0.05174919
0.07688547,0.040935088,0.041987274,0.043013394,0.044063345,0.044611193,0.04529947,0.04599047,0.04657939,0.04687877,0.046640504,0.047114875,0.047687292,0.04737574,0.04698825,0.047754988,0.04867537,0.048177022,0.048154607,0.048125535,0.04854352,0.04890572,0.049435325,0.0487449,0.0496513,0.048921373,0.049000416,0.049289368,0.049432307,0.049277503,0.049535673,0.049392447,0.050473705,0.050364953,0.05018101,0.04930536,0.049998213,0.05050441,0.05025494,0.050033957,0.050628137,0.050032794,0.050176643,0.050403073,0.049939137,0.05059079,0.05044494,0.05047411,0.050697636,0.050034486
0.076797575,0.04077234,0.04129155,0.042403076,0.043078195,0.04399306,0.04473703,0.045362696,0.04590654,0.0463982,0.046140693,0.04636638,0.047125127,0.04657769,0.0463429,0.04706511,0.047930308,0.047546733,0.04728415,0.047334835,0.047609642,0.048192862,0.048591994,0.048012067,0.048817,0.048169557,0.04828644,0.048521128,0.048532825,0.048508484,0.048704486,0.04869426,0.049544733,0.04941374,0.04922117,0.048601653,0.049218208,0.04957078,0.049382366,0.049232326,0.049494017,0.04919032,0.049451295,0.049489196,0.049195703,0.049664736,0.049488895,0.04951492,0.049786054,0.049128678
0.07676854,0.04061596,0.04112344,0.042247217,0.0427865,0.043921094,0.044432785,0.045065623,0.045413077,0.046008278,0.045884967,0.045895185,0.046755113,0.046019077,0.045922916,0.046542335,0.047240388,0.04704307,0.046694838,0.046865076,0.047175728,0.04771102,0.048138775,0.047499817,0.04826124,0.04750118,0.047877755,0.047973577,0.047887515,0.04808679,0.04808396,0.04811844,0.048759345,0.048683282,0.04849176,0.048076857,0.048445407,0.04891924,0.048755903,0.04856786,0.048770912,0.04852387,0.048789054,0.048912894,0.048547707,0.049014017,0.04872777,0.04881449,0.049059067,0.048454937
0.07671514,0.04048443,0.04077054,0.041643526,0.042096917,0.04346858,0.043778446,0.044588063,0.044984456,0.045585882,0.04541126,0.04530555,0.04629222,0.045498986,0.045635574,0.04599964,0.04682479,0.046378363,0.046180118,0.046394523,0.046724517,0.047173776,0.047552343,0.047036838,0.047656097,0.047118925,0.04741176,0.047438208,0.047474466,0.047602065,0.047612682,0.047461852,0.048105385,0.048024528,0.048035152,0.047662765,0.047989924,0.04832789,0.04815557,0.04798264,0.048222825,0.048086997,0.04820012,0.048419494,0.047942054,0.04847525,0.048192415,0.04826032,0.048626464,0.04796187
0.07667377,0.040501617,0.040663283,0.041431256,0.04177308,0.0431876,0.04358299,0.044341676,0.044675305,0.045279995,0.04518737,0.04506484,0.046027396,0.045200326,0.045363512,0.04566446,0.04651286,0.04609345,0.045918975,0.046137232,0.04643957,0.04687398,0.047120698,0.04667632,0.04725805,0.046714537,0.047084916,0.04710554,0.047132008,0.04724773,0.047240857,0.047098152,0.047671616,0.047670506,0.047517415,0.047347784,0.047576915,0.0479413,0.047765493,0.047529045,0.047876135,0.04759589,0.04793441,0.047946654,0.047592767,0.04807562,0.04771834,0.047852874,0.048278227,0.047529075
