gamma,MSE
1.1418022819302605,0.03587863
0.3620948689025927,0.038263425
1.861466572543214,0.035346862
1.9006397882377157,0.035403933
1.3021686131694217,0.035706345
0.8990481329523198,0.036478467
1.1025607394853918,0.035700675
1.0376240546342574,0.035962444
1.8223985113003824,0.03542024
1.6290239435952993,0.035466302
1.6681906134110698,0.03531398
1.1912311379328713,0.035751447
1.9024688225341164,0.035374116
1.8820640087674558,0.03534171
1.9673467167671277,0.0353331
1.0578759759730167,0.036183655
1.4816719578222461,0.035567492
1.822562792889205,0.03542024
0.7693664914652415,0.037268244
0.1937204000205053,0.038263425
0.7583834688066469,0.03727522
0.5972861292801972,0.038263425
0.5822220810492571,0.038263425
1.8660345511653396,0.035368156
1.5096834864741409,0.035497498
1.4143559582011809,0.03554948
1.0364422332736665,0.03606999
1.1676508920425037,0.03573219
0.16773426627275223,0.038263425
0.9736653472552685,0.03633175
1.874493445891806,0.035382032
0.1842026010468497,0.038263425
1.5927768208831337,0.035507556
0.2611996473826088,0.038263425
0.11273977564798973,0.038263425
1.7277480626929456,0.0353367
0.7608278448044278,0.037157785
0.7016325661226156,0.03825956
1.6801470888515488,0.03545146
0.1365788120491629,0.038263425
0.2956484075796849,0.038263425
1.9448218544523972,0.035372138
0.17541838614179883,0.038263425
1.0035367169186644,0.036276247
1.073754681357701,0.035770103
1.3791863219773548,0.03557278
1.5859487464642654,0.035485122
1.3428669098626995,0.035652917
0.8544186030742851,0.036459263
1.5044449430979931,0.035502423
1.5230046885594506,0.03543832
0.16706703187006755,0.038263425
1.7503278353455969,0.035322886
0.7077121358697415,0.03693119
0.3557673549377096,0.038263425
0.4957556826800775,0.038263425
0.22047592804348012,0.038263425
1.9845052722661467,0.035327844
0.45085526249169394,0.038263425
1.3804188078905526,0.035584245
1.7700804540598278,0.03538663
0.5358964871738051,0.038263425
1.0067629549701955,0.036316622
0.7769428463125204,0.03662364
0.2055563690736934,0.038263425
1.48001097648033,0.035634685
0.8600322780631189,0.036658958
0.9306994091861012,0.036485575
0.22833627397353226,0.038263425
0.6700268950861166,0.038269643
1.625184360395723,0.0354316
0.19444151054834338,0.038263425
1.9179810278177318,0.035395883
1.809795857795913,0.03543344
1.0429688905144974,0.036087427
0.7807143262817752,0.036592104
0.15309942136720742,0.038263425
0.13226218366804518,0.038263425
0.6330641750583016,0.03827372
1.4928041874637643,0.035445027
1.8000084963193903,0.035439823
1.7486532006827578,0.035327427
1.486345669135315,0.03565139
1.7440918220698856,0.03526769
1.4682992872799043,0.03542661
0.5255897228516541,0.038263425
0.26347784627883364,0.038263425
0.13113574093241512,0.038263425
0.9342055427608738,0.03636615
1.913598869551382,0.035372782
0.7364995837004222,0.037021194
1.8674432938399037,0.03539636
1.1826434332768794,0.035775907
0.8817339834036082,0.03652717
1.7277995717679833,0.0353367
0.2742666810628597,0.038263425
0.4729796500689498,0.038263425
1.7137415626861265,0.035424665
1.1532093824387397,0.036035042
0.40386369292140234,0.038263425
