"","Condition","condition","4","8"
"Condition.5HTR","Condition","5HTR",16,25
"Condition.ADF/Cofilin","Condition","ADF/Cofilin",28,75
"Condition.Arhgef8","Condition","Arhgef8",29,20
"Condition.BMP","Condition","BMP",16,40
"Condition.Col9a1","Condition","Col9a1",1,18
"Condition.Daam","Condition","Daam",18,48
"Condition.Ddr","Condition","Ddr",1,21
"Condition.Depdc","Condition","Depdc",115,59
"Condition.Dync2h","Condition","Dync2h",11,42
"Condition.EPB4.1","Condition","EPB4.1",0,13
"Condition.Eph","Condition","Eph",39,62
"Condition.Ets","Condition","Ets",31,85
"Condition.Farp","Condition","Farp",23,29
"Condition.Fgfr","Condition","Fgfr",50,65
"Condition.Foxf","Condition","Foxf",52,47
"Condition.FZD","Condition","FZD",14,43
"Condition.Gata","Condition","Gata",32,44
"Condition.Gna-L/S","Condition","Gna-L/S",5,49
"Condition.Gna12/13","Condition","Gna12/13",20,36
"Condition.NDE","Condition","NDE",5,26
"Condition.Paxillin","Condition","Paxillin",27,54
"Condition.Rab5","Condition","Rab5",2,51
"Condition.Rabep","Condition","Rabep",3,15
"Condition.Rho","Condition","Rho",33,48
"Condition.Rock","Condition","Rock",2,26
"Condition.Tol","Condition","Tol",10,47
"Condition.Tyrosinase","Condition","Tyrosinase",71,89
