"","parameter","condition","1","9"
"TVC.division1","TVC.division","enhanced",-0.560204878905066,0.210171130527409
"TVC.division2","TVC.division","inhibited",0.74996191185132,-0.447256298516935
"TVC.division3","TVC.division","WT",-0.732589438327042,0.432812833900514
"TVC.migration1","TVC.migration","inhibited",1.55704255165397,-2.07011547226555
"TVC.migration2","TVC.migration","WT",-1.55704255165397,2.07011547226555
"ATM.division1","ATM.division","enhanced",0.959776127385276,-0.728590758455241
"ATM.division2","ATM.division","WT",-0.959776127385276,0.728590758455241
"ATM.migration1","ATM.migration","enhanced",0.397669224199276,-0.223614369529016
"ATM.migration2","ATM.migration","WT",-0.397669224199276,0.223614369529016
"other1","other","TVC alignment",0.783430142272161,-0.536689592335121
"other2","other","TVC disposition",0.449841928703016,-0.280126736013297
"other3","other","WT",-0.772572938655453,0.517790475619565
