Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32
0.063548714,0.053958736,0.05760898,0.060493365,0.06355868,0.06572463,0.067300886,0.06931509,0.07083811,0.07200027,0.07464356,0.074792154,0.07530977,0.07602944,0.07770174,0.07981455,0.07978079,0.080399364,0.07966767,0.080922924,0.08131439,0.08179514,0.08244864,0.08270281,0.082671486,0.0835892,0.08349081,0.08406495,0.08376337,0.08479485,0.083883755,0.084870696
0.06283172,0.050288748,0.05105963,0.052485365,0.05327692,0.05486135,0.05587362,0.056575272,0.057417437,0.057223845,0.05947878,0.060012203,0.060000673,0.06052197,0.0612388,0.062869236,0.0628672,0.06310738,0.06257383,0.06292138,0.0635398,0.063452534,0.0639914,0.0647255,0.06435652,0.06489487,0.06451015,0.06455692,0.06436637,0.065191366,0.064466625,0.065011255
0.05941407,0.04339361,0.045953933,0.04644342,0.048077248,0.04976265,0.05008696,0.051092744,0.05164618,0.051684484,0.053418525,0.05379499,0.054256663,0.054071344,0.05406224,0.055554245,0.05567791,0.054626197,0.05438175,0.05644235,0.055997293,0.05612791,0.05699864,0.057391647,0.056419007,0.0557542,0.057394568,0.057022598,0.056002304,0.05732292,0.056528203,0.0566528
0.059091456,0.041898534,0.044132046,0.044440784,0.046102315,0.04704682,0.04769128,0.048418533,0.049075164,0.049018055,0.050905194,0.05006104,0.04994249,0.050267268,0.050626155,0.05232734,0.05213052,0.051421303,0.05089333,0.052132655,0.052772067,0.052513823,0.05335866,0.05370288,0.052606937,0.05238213,0.053885393,0.053007647,0.05257559,0.053392246,0.052722357,0.053066265
0.05905167,0.04114468,0.04281467,0.043132976,0.044164706,0.04528557,0.045707986,0.046837438,0.047410388,0.047147065,0.048827466,0.048323017,0.04831766,0.04835099,0.04870903,0.050040342,0.049318053,0.049445532,0.048976168,0.050218355,0.050438687,0.05062993,0.05128318,0.051317923,0.050641734,0.049768236,0.051732425,0.05084309,0.050497755,0.051285032,0.050473087,0.050883614
0.059067015,0.0407339,0.04237391,0.04258809,0.043498084,0.04451519,0.044988133,0.04553972,0.046202715,0.04600856,0.04740884,0.04646555,0.04666521,0.046625655,0.047574468,0.048501447,0.04813908,0.047982186,0.047738656,0.048985556,0.04874575,0.049092416,0.04886612,0.049707565,0.04924485,0.04817392,0.04999961,0.04937368,0.048829395,0.049666278,0.048943177,0.04936758
0.05890987,0.04059359,0.041874167,0.042240147,0.04277874,0.043892317,0.044365596,0.0449579,0.045430265,0.045382805,0.046906594,0.045885883,0.045805685,0.046235602,0.046823002,0.047736466,0.04748548,0.04735964,0.047073662,0.04827518,0.04802454,0.04841409,0.04764915,0.048981626,0.048558317,0.0474987,0.049284697,0.04852142,0.048142813,0.04888911,0.048086334,0.048490614
0.05886084,0.040518373,0.041764654,0.042129956,0.042487,0.04368792,0.04408084,0.044733003,0.045049723,0.045033652,0.04629943,0.045602854,0.045471348,0.045905795,0.046179023,0.046818405,0.04707834,0.04657533,0.04656562,0.047700554,0.047475364,0.04771406,0.04710401,0.0485731,0.04804053,0.047008317,0.04866139,0.047975104,0.047493108,0.04840273,0.047530863,0.047898803
0.058813732,0.04033512,0.0411271,0.04185151,0.041996833,0.04300624,0.0436471,0.0444765,0.04456048,0.04467323,0.04586439,0.04523589,0.04518901,0.045590524,0.0458084,0.046375684,0.046668224,0.04622918,0.046135325,0.046909265,0.046991833,0.04715228,0.0467334,0.04815117,0.047536448,0.046553057,0.04818098,0.047513325,0.04709325,0.047949336,0.047050938,0.04731512
0.058759313,0.0403173,0.04082118,0.04169418,0.041759275,0.042645924,0.04333748,0.044257693,0.044322725,0.044431776,0.045507763,0.04507191,0.044817623,0.04535248,0.045429684,0.045885574,0.046378527,0.04593943,0.04586363,0.046512727,0.0465895,0.046736073,0.046386074,0.047772583,0.047234792,0.04616594,0.047755588,0.047180638,0.04676236,0.047526438,0.046691366,0.04695118
0.058750868,0.04034064,0.040812645,0.041653965,0.041727725,0.042593125,0.043235723,0.04410797,0.044105683,0.044274475,0.045351613,0.045008156,0.044701055,0.04525747,0.045249328,0.045715943,0.046220407,0.04578102,0.045661304,0.04636213,0.046361696,0.04648493,0.046116695,0.04741525,0.046963885,0.045951966,0.047406193,0.046804655,0.046537332,0.04728026,0.046435144,0.046706155
0.05875124,0.04024308,0.04075607,0.04161106,0.04161186,0.042483326,0.043090302,0.04400153,0.044028543,0.04401053,0.04520033,0.04487309,0.044606194,0.045095734,0.045101393,0.045533262,0.04597037,0.04557077,0.04549154,0.04623319,0.04615085,0.04623164,0.04592347,0.04717599,0.04671681,0.04579838,0.047191598,0.04654313,0.046310034,0.047012106,0.046273194,0.04646998
0.058734413,0.04028385,0.040737562,0.04156588,0.04157801,0.04245267,0.043054618,0.04382721,0.043800194,0.043807145,0.04496252,0.044634692,0.044415575,0.04496392,0.04492329,0.045375586,0.04589442,0.045458335,0.045360968,0.045963332,0.04601716,0.046028666,0.0457551,0.046964083,0.04650596,0.045633513,0.04696035,0.046337347,0.04615747,0.046842135,0.04610185,0.046316437
0.058679294,0.040323775,0.040733363,0.041467413,0.041485295,0.042421028,0.042989403,0.043697696,0.04357117,0.043693755,0.044847593,0.044459052,0.04424188,0.044925604,0.04484575,0.045199536,0.045809917,0.04533808,0.045210138,0.04586374,0.04585427,0.04587879,0.045650166,0.04678331,0.04636812,0.045453355,0.046803173,0.04618498,0.046042304,0.046641827,0.0459484,0.046094194
0.058646295,0.040383387,0.0405715,0.041360363,0.041376878,0.04210802,0.04288247,0.043509737,0.04336456,0.043568123,0.044675037,0.04428864,0.044098046,0.044766027,0.04432982,0.045027014,0.04565851,0.044992164,0.04505372,0.045487724,0.0457463,0.045662776,0.04555069,0.046601046,0.046113282,0.04517862,0.04657315,0.04601372,0.045760754,0.046179693,0.045665354,0.045736164
0.05866052,0.04027874,0.040531624,0.041292407,0.041260023,0.042050935,0.042824123,0.04341504,0.04327891,0.043462504,0.0446042,0.044190522,0.044055354,0.04464458,0.044264562,0.044950318,0.04560427,0.04486239,0.044948127,0.045337882,0.04560476,0.045603495,0.045402568,0.046464387,0.045992997,0.045028064,0.046443544,0.04592635,0.04571656,0.046033062,0.0455955,0.045610294
0.05861511,0.040103126,0.040329814,0.040989786,0.041173752,0.041735806,0.04269461,0.043294806,0.0431695,0.04328089,0.044267073,0.04407288,0.04381601,0.044430126,0.04383449,0.044702943,0.045327857,0.044542924,0.044582438,0.044986896,0.045395117,0.045325384,0.045154385,0.046258908,0.04577449,0.044675652,0.04615993,0.045769613,0.045473848,0.04584018,0.045407973,0.04544402
0.058606748,0.0399529,0.040164627,0.040787112,0.041042272,0.041422036,0.042482316,0.043098528,0.043065026,0.04307888,0.044040073,0.043952454,0.043639503,0.04423054,0.04364247,0.044455472,0.045191735,0.044441648,0.044492494,0.044635594,0.0452413,0.04511421,0.0450143,0.04595089,0.045589063,0.04454095,0.04597986,0.045545515,0.04525509,0.045659587,0.045210913,0.04530655
0.058576673,0.039975617,0.040181533,0.040846884,0.04102332,0.04140946,0.042416383,0.043096494,0.043031454,0.043013334,0.04394223,0.043957207,0.04362727,0.044206586,0.043648075,0.044376507,0.04520508,0.044432458,0.044510968,0.04459791,0.045214675,0.045039948,0.044978324,0.0459021,0.045492705,0.04450778,0.045924157,0.045463074,0.045181874,0.04559277,0.04513175,0.045255527
0.058561713,0.040060766,0.04020851,0.040885884,0.04103847,0.041378193,0.04240741,0.042881723,0.042815853,0.04293779,0.04368754,0.043823488,0.043523844,0.044149816,0.043376002,0.044166107,0.04514709,0.04421724,0.044468977,0.04454379,0.045043603,0.044814475,0.044712897,0.045745146,0.04540187,0.04442468,0.04579595,0.045388795,0.045046616,0.045508206,0.04504258,0.04515923
