Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,Column114,Column115,Column116,Column117,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128
0.053607132,0.047457337,0.044136714,0.043278486,0.042917162,0.042697582,0.04264312,0.042590115,0.042489868,0.04245893,0.04245238,0.04240795,0.042411283,0.042413082,0.04239742,0.042353567,0.04228692,0.042241238,0.042232294,0.042264324,0.04228165,0.042249918,0.042200036,0.042198215,0.042208426,0.042160418,0.042186256,0.04219001,0.042205382,0.042221706,0.042234395,0.04223691,0.042202838,0.04218669,0.0421823,0.042161703,0.042177293,0.042127624,0.04207678,0.042072657,0.042065,0.04204582,0.042059336,0.042054005,0.04205881,0.042071663,0.04205668,0.042068798,0.04204794,0.04205602,0.04204227,0.04205201,0.04203693,0.0420217,0.042028252,0.042025205,0.04202848,0.042026628,0.04202008,0.04199526,0.04198377,0.04197336,0.04197287,0.041966874,0.041962113,0.041952375,0.04194606,0.041947547,0.041949365,0.04193387,0.041926444,0.041931868,0.041940067,0.041939046,0.04192709,0.04192706,0.04192743,0.041918382,0.041920204,0.04192455,0.04193099,0.041918837,0.04191955,0.04192814,0.041927975,0.04193388,0.041929875,0.04193661,0.04193863,0.04194099,0.04193295,0.04193756,0.04193953,0.041931875,0.04193323,0.041931562,0.04192901,0.04192254,0.041922707,0.04192359,0.04192139,0.04192583,0.041934904,0.0419315,0.04193226,0.041927077,0.041919507,0.041917477,0.04192116,0.041920695,0.04192459,0.0419255,0.041925587,0.04192435,0.041930154,0.04192989,0.04193445,0.041933123,0.041932523,0.041936968,0.041938696,0.041941658,0.041944806,0.04194659,0.04195018,0.041951016,0.0419521,0.04195194
0.05359959,0.045627926,0.043927222,0.043584198,0.043453936,0.043406885,0.043368112,0.043337997,0.043293465,0.0432799,0.04326576,0.04324927,0.04324309,0.043245133,0.04323833,0.04322944,0.04321974,0.04321441,0.04320037,0.04321117,0.043207843,0.04320226,0.043188743,0.04318289,0.04318499,0.04316472,0.0431727,0.0431707,0.043175377,0.04318154,0.043181505,0.043182015,0.043169256,0.043162983,0.04315771,0.043154094,0.043155517,0.043139756,0.043120995,0.043121107,0.04312073,0.043116044,0.043120433,0.04311747,0.043117445,0.043121494,0.04312052,0.04312403,0.043115143,0.043117035,0.04311437,0.043116692,0.043111876,0.04310806,0.043109905,0.04311007,0.043110657,0.043112196,0.043110438,0.043100927,0.043096762,0.043093022,0.043093912,0.043094136,0.043093883,0.043089267,0.04308501,0.043084797,0.043083407,0.043076254,0.043071426,0.043073725,0.043077447,0.04307467,0.043069907,0.04307185,0.043071907,0.043067664,0.04306691,0.043067724,0.04307142,0.043065272,0.04306651,0.043070946,0.043069758,0.043071385,0.043070238,0.043072116,0.04307222,0.04307196,0.04306923,0.04307053,0.043070685,0.04306901,0.043069955,0.043067962,0.043065045,0.04306295,0.04306045,0.04306096,0.043062054,0.043064516,0.04306849,0.043066826,0.0430661,0.043063864,0.04305974,0.043058045,0.043058738,0.0430576,0.043058243,0.043057937,0.043056987,0.04305722,0.043059383,0.04305843,0.043059647,0.043057863,0.043056823,0.04305841,0.04305935,0.043060057,0.043060865,0.043060873,0.043062035,0.043062244,0.043062393,0.043061964
0.053116083,0.044807132,0.043747336,0.043693114,0.043620646,0.043647684,0.043626327,0.043590028,0.043575674,0.043569416,0.0435521,0.043547764,0.04353737,0.04353461,0.043532982,0.04352736,0.043533202,0.043542694,0.043528784,0.043532025,0.04352618,0.043530863,0.04353235,0.043528564,0.04352796,0.043520994,0.043521583,0.043517902,0.043516897,0.043517753,0.04351571,0.04351626,0.043510746,0.04351009,0.04350546,0.043508798,0.04350661,0.043505177,0.04350196,0.043504562,0.043507904,0.04350946,0.043509226,0.043505903,0.043504052,0.043504,0.04350762,0.043507103,0.043506093,0.043505162,0.04350535,0.043504894,0.043504324,0.04350543,0.043504912,0.043506764,0.04350643,0.043509867,0.043511115,0.043508746,0.043507367,0.043507498,0.043509614,0.043511275,0.043512702,0.04350988,0.04350665,0.043505076,0.043502774,0.043499626,0.043495744,0.043496158,0.04349791,0.043495193,0.043494716,0.043497123,0.043497406,0.04349531,0.043493886,0.043493263,0.043494567,0.043492403,0.043494157,0.04349622,0.043495,0.043494783,0.043494076,0.043493886,0.043493446,0.04349219,0.04349231,0.043492585,0.043492205,0.04349264,0.043493386,0.04349114,0.04348875,0.04348881,0.043486934,0.043487627,0.04348911,0.043490257,0.043491464,0.043490015,0.043488774,0.043487567,0.04348607,0.04348453,0.043483995,0.043482885,0.043482266,0.043481328,0.04348016,0.04348075,0.043481473,0.043479916,0.04347985,0.0434778,0.043476775,0.043477066,0.043477565,0.043477383,0.043476924,0.04347614,0.043475896,0.043475907,0.04347534,0.043474592
0.053812016,0.044295356,0.043738473,0.04371574,0.04370476,0.043731373,0.04370416,0.043678798,0.043671913,0.043667424,0.043651514,0.043646693,0.0436348,0.04363235,0.043630093,0.043627914,0.04363997,0.043655287,0.043642946,0.043642677,0.043635495,0.04364226,0.04365003,0.0436468,0.043645367,0.04364446,0.043642357,0.043638732,0.04363492,0.04363327,0.043630593,0.043631557,0.043628816,0.043631565,0.043627527,0.043633323,0.043630105,0.043633975,0.043637298,0.043641306,0.04364714,0.04365071,0.043648586,0.04364524,0.043642383,0.043640446,0.04364593,0.043643754,0.043646023,0.04364429,0.043645244,0.0436438,0.043645293,0.043648206,0.043646544,0.04364924,0.043648835,0.043652926,0.043655336,0.043656114,0.043655816,0.04365758,0.043660045,0.04366212,0.043664217,0.04366199,0.04365951,0.043657456,0.043655317,0.043653786,0.043650463,0.04365021,0.043651022,0.04364851,0.043649804,0.043652188,0.04365252,0.043651335,0.04364979,0.043648534,0.043648466,0.043648127,0.04365026,0.04365108,0.04364991,0.043648843,0.043648314,0.043647368,0.043646716,0.043645192,0.043646827,0.043646693,0.04364613,0.043647297,0.043647878,0.043645576,0.043643706,0.043644734,0.043643735,0.04364461,0.04364598,0.043646477,0.043646473,0.043645028,0.043643676,0.043642912,0.04364255,0.043641157,0.043640185,0.04363911,0.043637972,0.04363685,0.043635607,0.04363633,0.043636486,0.043634687,0.04363407,0.04363207,0.043631025,0.04363076,0.043631062,0.043630537,0.043629564,0.043628518,0.04362765,0.04362762,0.0436267,0.043625813
0.053367306,0.043878995,0.043709744,0.04371179,0.043728366,0.043747544,0.04372477,0.0437042,0.043700468,0.043696877,0.043681584,0.043678597,0.04366555,0.043662935,0.043660007,0.04365885,0.043673508,0.043690786,0.04368062,0.043679662,0.043671474,0.043679226,0.04368982,0.043686893,0.043685224,0.043687038,0.0436836,0.043680754,0.043675914,0.04367322,0.04367044,0.04367163,0.04366974,0.04367397,0.043670483,0.043677203,0.04367363,0.043679737,0.043685533,0.043690156,0.043697182,0.04370149,0.043698553,0.043695215,0.04369191,0.04368914,0.043695237,0.043692358,0.043695997,0.04369405,0.04369508,0.0436932,0.043695655,0.04369932,0.04369715,0.04370024,0.043699883,0.043704223,0.043707076,0.04370918,0.043709297,0.043711726,0.043714296,0.043716487,0.043718807,0.043716818,0.043714803,0.043712597,0.043710914,0.043710012,0.043707006,0.04370648,0.04370682,0.04370453,0.043706425,0.04370869,0.043709014,0.043708194,0.043706656,0.043705106,0.043704372,0.043704823,0.04370716,0.04370741,0.043706305,0.043704852,0.043704398,0.043703187,0.043702487,0.043700933,0.043703247,0.04370295,0.043702327,0.04370376,0.04370424,0.04370195,0.043700393,0.043701835,0.043701418,0.043702383,0.043703612,0.0437038,0.04370328,0.04370181,0.043700475,0.04369988,0.04369994,0.043698646,0.04369754,0.043696493,0.04369518,0.04369402,0.043692764,0.043693528,0.04369349,0.043691583,0.04369073,0.043688815,0.04368779,0.04368731,0.043687493,0.04368684,0.043685693,0.043684565,0.04368344,0.0436834,0.043682314,0.043681376
0.053652074,0.043737553,0.04367745,0.043687053,0.04372311,0.043746963,0.043727435,0.04370955,0.04370948,0.043705925,0.043692853,0.04369069,0.043677434,0.04367423,0.04367075,0.043669485,0.04368499,0.043702856,0.0436937,0.043692462,0.043683905,0.04369199,0.043703575,0.0437008,0.043699093,0.043702006,0.0436979,0.043695662,0.043690346,0.043687206,0.043684468,0.043685783,0.043684155,0.04368903,0.04368578,0.04369286,0.04368915,0.04369608,0.04370279,0.043707624,0.043715235,0.04371979,0.043716535,0.043713216,0.04370973,0.04370662,0.04371298,0.04370984,0.043714028,0.04371205,0.043713022,0.043710966,0.043713823,0.043717775,0.043715384,0.043718643,0.043718323,0.043722764,0.043725766,0.04372837,0.043728635,0.043731324,0.04373393,0.04373613,0.043738537,0.04373664,0.043734867,0.043732632,0.04373141,0.043730732,0.043727882,0.043727253,0.04372737,0.043725204,0.043727305,0.043729484,0.043729797,0.04372912,0.0437276,0.043725897,0.04372486,0.04372564,0.04372807,0.04372808,0.04372701,0.04372539,0.043724965,0.04372365,0.043722954,0.043721423,0.04372402,0.04372367,0.04372302,0.043724548,0.043724984,0.043722697,0.04372131,0.043722935,0.04372282,0.043723818,0.043724954,0.043725003,0.043724265,0.043722775,0.04372147,0.043720923,0.04372115,0.043719918,0.04371877,0.043717742,0.043716364,0.0437152,0.043713946,0.043714736,0.043714628,0.04371267,0.04371171,0.04370985,0.043708846,0.04370828,0.043708403,0.043707702,0.04370649,0.043705344,0.043704115,0.04370406,0.04370291,0.04370195
0.054227125,0.043765754,0.043672066,0.043686148,0.043727364,0.043749016,0.04372964,0.04371219,0.04371281,0.043709233,0.043697294,0.0436952,0.043681946,0.043678388,0.04367453,0.043673053,0.043688938,0.043706954,0.043698307,0.043697033,0.04368834,0.043696493,0.043708447,0.04370574,0.043704018,0.043707315,0.043702878,0.043700952,0.043695446,0.04369214,0.043689404,0.043690797,0.043689232,0.043694384,0.04369124,0.043698475,0.04369471,0.04370197,0.04370901,0.04371392,0.04372179,0.043726422,0.04372306,0.04371975,0.043716196,0.043712948,0.04371942,0.043716174,0.04372058,0.043718606,0.043719526,0.0437174,0.043720417,0.04372448,0.043721996,0.04372533,0.04372503,0.043729514,0.04373257,0.043735363,0.043735668,0.043738473,0.043741077,0.043743275,0.04374572,0.043743853,0.043742202,0.043739963,0.043739077,0.043738462,0.043735698,0.043735016,0.043735027,0.04373295,0.043735117,0.043737244,0.043737546,0.043736916,0.043735404,0.04373363,0.043732453,0.043733362,0.04373584,0.04373574,0.04373469,0.043732993,0.043732572,0.043731224,0.043730535,0.04372902,0.043731738,0.043731358,0.04373071,0.043732267,0.043732673,0.0437304,0.04372909,0.04373079,0.043730818,0.043731842,0.043732926,0.043732904,0.043732084,0.04373058,0.04372929,0.04372877,0.04372905,0.043727838,0.043726683,0.043725662,0.04372426,0.043723114,0.04372186,0.043722644,0.043722518,0.043720547,0.04371953,0.0437177,0.04371671,0.04371611,0.043716203,0.043715484,0.04371425,0.043713097,0.04371183,0.043711767,0.043710586,0.043709613
0.05396793,0.043688837,0.0436713,0.043685243,0.04372803,0.04374946,0.043730326,0.043712992,0.0437136,0.04371018,0.043698736,0.043696776,0.043683585,0.043679886,0.043675866,0.0436743,0.04369031,0.043708358,0.043699995,0.04369873,0.04368993,0.0436981,0.043710176,0.04370749,0.043705754,0.043709215,0.043704636,0.043702867,0.043697283,0.04369391,0.04369117,0.043692604,0.043691058,0.043696314,0.04369322,0.043700516,0.043696724,0.043704122,0.043711282,0.043716207,0.043724194,0.043728847,0.043725446,0.04372214,0.043718565,0.043715265,0.04372177,0.0437185,0.043722987,0.043721013,0.043721907,0.04371975,0.04372283,0.04372694,0.04372441,0.04372778,0.043727484,0.043731987,0.04373506,0.043737926,0.04373825,0.043741096,0.043743696,0.04374589,0.04374834,0.04374649,0.0437449,0.043742664,0.043741997,0.04374141,0.043738674,0.04373797,0.043737933,0.0437359,0.043738086,0.04374019,0.043740477,0.043739863,0.04373835,0.043736536,0.0437353,0.043736253,0.043738756,0.043738607,0.04373756,0.043735832,0.043735415,0.043734055,0.043733366,0.043731865,0.04373463,0.043734238,0.043733582,0.04373515,0.043735545,0.043733276,0.043732006,0.043733742,0.043733843,0.043734856,0.043735925,0.043735877,0.043735016,0.043733507,0.043732222,0.043731704,0.043732006,0.04373081,0.043729655,0.043728642,0.043727223,0.04372608,0.043724827,0.04372562,0.043725483,0.0437235,0.043722466,0.043720644,0.043719668,0.04371905,0.04371913,0.0437184,0.043717157,0.043716006,0.04371472,0.043714654,0.043713465,0.043712486
0.053737346,0.04365979,0.04367701,0.04368679,0.043728247,0.043749582,0.0437307,0.043713193,0.043713775,0.043710437,0.043699197,0.0436973,0.043684147,0.04368039,0.04367632,0.04367471,0.043690782,0.04370885,0.043700606,0.043699335,0.0436905,0.043698672,0.04371081,0.04370814,0.043706387,0.043709908,0.04370526,0.043703556,0.043697942,0.04369455,0.04369181,0.04369326,0.043691717,0.04369701,0.04369394,0.04370126,0.04369746,0.04370491,0.043712113,0.043717053,0.04372509,0.043729745,0.04372632,0.043723024,0.043719437,0.043716118,0.043722637,0.043719348,0.04372387,0.043721907,0.04372278,0.04372061,0.043723717,0.04372784,0.0437253,0.043728683,0.04372839,0.043732896,0.04373598,0.043738868,0.0437392,0.043742064,0.043744665,0.043746855,0.043749303,0.04374746,0.043745898,0.043743663,0.043743134,0.04374255,0.043739837,0.043739118,0.043739058,0.043737043,0.043739237,0.043741323,0.043741606,0.043741,0.04373948,0.043737646,0.043736376,0.04373736,0.04373986,0.0437397,0.043738652,0.04373691,0.04373649,0.04373512,0.04373443,0.04373293,0.04373572,0.04373533,0.043734673,0.043736245,0.043736637,0.043734364,0.04373311,0.043734856,0.043734983,0.043736007,0.04373706,0.043736998,0.043736126,0.04373461,0.043733336,0.04373282,0.043733124,0.04373193,0.043730773,0.043729763,0.043728344,0.043727197,0.043725945,0.04372675,0.043726597,0.043724615,0.043723572,0.043721758,0.04372078,0.04372016,0.043720234,0.043719504,0.04371826,0.043717105,0.043715812,0.04371574,0.043714553,0.04371357
0.05423236,0.043645777,0.043674782,0.043686643,0.043728877,0.043749828,0.04373074,0.04371325,0.043713786,0.043710504,0.04369933,0.043697465,0.043684326,0.043680552,0.043676473,0.04367485,0.043690953,0.043709025,0.04370085,0.04369958,0.043690715,0.043698892,0.043711048,0.043708377,0.043706622,0.04371016,0.04370549,0.043703813,0.043698188,0.043694783,0.04369204,0.0436935,0.04369195,0.04369727,0.043694206,0.043701533,0.04369773,0.043705195,0.04371242,0.043717366,0.043725416,0.043730076,0.043726653,0.04372335,0.04371976,0.04371643,0.04372296,0.043719668,0.043724198,0.043722235,0.0437231,0.043720927,0.04372405,0.043728177,0.043725625,0.043729015,0.043728724,0.04373323,0.04373632,0.04373922,0.04373955,0.043742422,0.04374502,0.043747205,0.043749657,0.043747824,0.04374627,0.04374403,0.04374359,0.043743003,0.0437403,0.043739572,0.0437395,0.0437375,0.04373969,0.04374177,0.04374205,0.043741446,0.043739915,0.043738075,0.043736797,0.043737784,0.043740287,0.043740116,0.043739066,0.043737322,0.043736897,0.043735527,0.043734837,0.043733347,0.043736137,0.043735743,0.043735087,0.04373666,0.043737046,0.043734778,0.04373353,0.04373528,0.043735422,0.043736447,0.043737493,0.04373743,0.04373655,0.04373503,0.043733753,0.04373324,0.043733545,0.043732356,0.043731205,0.043730192,0.04372877,0.043727625,0.043726373,0.043727174,0.043727025,0.04372504,0.043723993,0.04372218,0.043721203,0.04372058,0.04372065,0.043719918,0.043718673,0.043717522,0.043716222,0.043716155,0.04371496,0.04371398
