"","parameter","condition","7","8"
"TVC.division1","TVC.division","enhanced",0.521509746027162,0.649203548579246
"TVC.division2","TVC.division","inhibited",0.57102933328827,0.649203548579246
"TVC.division3","TVC.division","WT",0.57102933328827,0.649203548579246
"TVC.migration1","TVC.migration","inhibited",7.72743639509609e-08,5.15044692206557e-08
"TVC.migration2","TVC.migration","WT",5.15044692206558e-08,7.7274363950961e-08
"ATM.division1","ATM.division","enhanced",1.18959120819004e-16,2.10956594426247e-16
"ATM.division2","ATM.division","WT",2.10956594426247e-16,1.18959120819004e-16
"ATM.migration1","ATM.migration","enhanced",1.54480363060214e-65,8.94220766616629e-65
"ATM.migration2","ATM.migration","WT",8.94220766616628e-65,1.54480363060214e-65
"other1","other","TVC alignment",0.241620093845514,0.305496257984565
"other2","other","TVC disposition",0.148182748186795,0.172110853487115
"other3","other","WT",0.163796805439694,0.172110853487115
