"","Condition","condition","1","9"
"Condition.5HTR","Condition","5HTR",8,33
"Condition.ADF/Cofilin","Condition","ADF/Cofilin",44,59
"Condition.Arhgef8","Condition","Arhgef8",10,39
"Condition.BMP","Condition","BMP",21,35
"Condition.Col9a1","Condition","Col9a1",3,16
"Condition.Daam","Condition","Daam",30,36
"Condition.Ddr","Condition","Ddr",3,19
"Condition.Depdc","Condition","Depdc",73,101
"Condition.Dync2h","Condition","Dync2h",22,31
"Condition.EPB4.1","Condition","EPB4.1",2,11
"Condition.Eph","Condition","Eph",34,67
"Condition.Ets","Condition","Ets",68,48
"Condition.Farp","Condition","Farp",12,40
"Condition.Fgfr","Condition","Fgfr",34,81
"Condition.Foxf","Condition","Foxf",37,62
"Condition.FZD","Condition","FZD",23,34
"Condition.Gata","Condition","Gata",13,63
"Condition.Gna-L/S","Condition","Gna-L/S",13,41
"Condition.Gna12/13","Condition","Gna12/13",21,35
"Condition.NDE","Condition","NDE",4,27
"Condition.Paxillin","Condition","Paxillin",27,54
"Condition.Rab5","Condition","Rab5",7,46
"Condition.Rabep","Condition","Rabep",4,14
"Condition.Rho","Condition","Rho",21,60
"Condition.Rock","Condition","Rock",3,25
"Condition.Tol","Condition","Tol",29,28
"Condition.Tyrosinase","Condition","Tyrosinase",33,127
